"V1","V2","V3","V4","V5","V6","V7","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V6_1","V6_2","V6_3","V6_4","filter_."
"Switzerland                                         ","CHE","Itsenäinen valtio",39516.00098,"Ei","Korkea","Kyllä",8514329,215.4653505,73.797,10.3,7.9,3.7,50.4532596,NA,NA,NA,4.712999821,80449.99456,5.130189896,0.68061451,11.89515591,126.5434466,85.6,81.7,83.55121951,0.2,34477.134,10.3031001,0,0,0,1,"Selected"
"Channel Islands                                     ","CHI","Muu alue/territorio",197.9999924,NA,"Korkea",NA,170499,861.1060938,30.914,9.939,7.817,NA,48.11703486,NA,NA,NA,7.409999847,NA,NA,NA,NA,NA,84.677,80.769,82.766,NA,NA,NA,0,0,0,1,"Not Selected"
"Chile                                               ","CHL","Itsenäinen valtio",743532.0313,"Ei","Korkea","Ei",18729160,25.18944607,87.564,12.711,6.076,6.4,45.52588834,NA,NA,NA,7.232999802,14999.37009,5.41945982,1.93093993,9.06820488,134.4373213,82.333,77.333,79.909,0.5,85822.468,21.03629906,0,0,0,1,"Selected"
"China                                               ","CHN","Itsenäinen valtio",9388210,"Ei","Ylempi keskitaso","Ei",1392730000,148.3488333,59.152,12.43,7.11,7.9,40.44526875,4.84067,1.53346000000001,3.15911,4.276000023,8879.438149,NA,1.896029598,5.15119171,115.5258122,78.828,74.315,76.47,NA,9893037.952,52.66459583,0,0,1,0,"Selected"
"Cote d'Ivoire                                       ","CIV","Itsenäinen valtio",318000,"Ei","Alempi keskitaso","Ei",25069229,78.83405346,50.779,35.993,10.262,62.2,81.14602119,59.50063,46.34306,52.83465,3.210000038,2111.027076,3.80347991,1.252720094,4.45303488,134.8579514,58.32,55.864,57.017,2.6,9673.546,25.88626634,0,1,0,0,"Selected"
"Cameroon                                            ","CMR","Itsenäinen valtio",472710,"Ei","Alempi keskitaso","Ei",25216237,53.34398891,56.374,35.9,9.501,53.4,83.01763161,28.41373,17.37196,22.92896,3.357000113,1425.107818,3.154819965,1.173793483,3.4925251,73.19019901,59.795,57.235,58.511,3.4,8291.087,72.79309622,0,1,0,0,"Selected"
"Congo, Dem. Rep.                                    ","COD","Itsenäinen valtio",2267050,"Kyllä","Matala","Ei",84068091,37.08259236,44.46,41.732,9.691,69.8,96.78640987,NA,NA,NA,4.19299984,467.0742375,1.454949975,0.737512008,4.15728664,43.38221502,61.539,58.528,60.026,0.8,2020.517,44.9092636,1,0,0,0,"Selected"
"Congo, Rep.                                         ","COG","Itsenäinen valtio",341500,"Ei","Alempi keskitaso","Ei",5244363,15.35684627,66.916,33.378,6.828,36.6,80.00253304,25.38124,13.92349,19.70124,9.670000076,1767.894521,5.46505022,4.312130454,2.93953753,95.34053637,65.316,62.546,63.954,3.1,3281.965,46.63822028,0,1,0,0,"Selected"
"Colombia                                            ","COL","Itsenäinen valtio",1109500,"Ei","Ylempi keskitaso","Ei",49648685,44.74870212,80.778,15.098,5.503,12.6,46.10472428,4.68107999999999,5.14816999999999,4.90749,9.111000061,6377.851363,4.535510063,3.209062437,7.67864275,129.9086097,79.694,74.124,76.925,0.5,97813.558,16.52721022,0,0,1,0,"Selected"
"Comoros                                             ","COM","Itsenäinen valtio",1861.000061,"Kyllä","Matala","Ei",832322,447.2444775,28.965,32.365,7.298,51.2,74.05056806,47.04361,35.3558,41.18298,4.302000046,1323.81159,NA,NA,4.64801407,59.94110452,65.675,62.21,63.912,0.1,201.685,20.5468246,1,0,0,0,"Selected"
"Cabo Verde                                          ","CPV","Itsenäinen valtio",4030,"Ei","Alempi keskitaso","Ei",543767,134.9297767,65.732,19.919,5.682,14.5,50.12105936,NA,NA,NA,12.17000008,3292.645755,5.181749821,0.529982992,5.36013222,112.2407207,75.812,69.089,72.57,0.6,542.716,34.7787001,0,1,0,0,"Selected"
"Costa Rica                                          ","CRI","Itsenäinen valtio",51060,"Ei","Ylempi keskitaso","Ei",4999441,97.91306306,79.34,14.246,5.005,7.5,44.6646068,2.07557,2.19765,2.13621000000001,9.631999969,11814.62657,7.315720081,0,7.32879639,169.9306983,82.557,77.354,79.914,0.3,8023.396,15.7259203,0,0,1,0,"Selected"
"Caribbean small states                              ","CSS","Valtioiden muodostama alue",404850,NA,NA,NA,7358965,18.17701618,51.19936158,16.1047032,7.539148158,15.46825619,48.24314038,NA,NA,NA,8.372811787,9557.517493,5.260620117,NA,6.417206894,110.973817,75.77467453,71.3399815619282,73.51749249,1.231609209,61722.944,19.00983013,NA,NA,NA,NA,"Not Selected"
"Cuba                                                ","CUB","Itsenäinen valtio",104020,"Ei","Ylempi keskitaso","Ei",11338138,108.9995962,77.037,10.386,8.827,4,45.76718522,NA,NA,NA,1.700000048,8541.210673,NA,2.872403239,11.7113266,47.39153727,80.643,76.699,78.662,0.4,28283.571,19.7060474,0,0,1,0,"Selected"
"Curacao                                             ","CUW","Muu alue/territorio",NA,NA,"Korkea",NA,159800,NA,89.145,9.7,8.9,NA,55.20439778,NA,NA,NA,NA,19457.53152,NA,NA,NA,114.5239383,81.5,74.7,78.01707317,NA,5390.49,NA,0,0,0,1,"Not Selected"
"Cayman Islands                                      ","CYM","Muu alue/territorio",240,NA,"Korkea",NA,64174,267.3916667,100,9.902558821,3.422324329,NA,NA,NA,NA,NA,NA,81124.51348,NA,NA,NA,NA,NA,NA,NA,NA,546.383,NA,0,0,0,1,"Not Selected"
"Cyprus                                              ","CYP","Itsenäinen valtio",9240,"Ei","Korkea","Ei",1189265,128.7083333,66.81,10.668,6.952,2,43.89919863,NA,NA,NA,8.369999886,26338.69434,5.777190208,1.589445269,6.73828936,138.900486,82.794,78.547,80.672,NA,6626.269,17.2944062,0,0,0,1,"Selected"
"Czech Republic                                      ","CZE","Itsenäinen valtio",77220,"Ei","Korkea","Kyllä",10629928,137.6577053,73.792,10.8,10.5,2.5,53.86386184,NA,NA,NA,2.243000031,20379.89604,3.854020119,0.968686618,7.23133898,119.1135078,82,76.5,78.97804878,NA,102217.625,16.07124535,0,0,0,1,"Selected"
"Germany                                             ","DEU","Itsenäinen valtio",349360,"Ei","Korkea","Ei",82905782,237.3075967,77.312,9.5,11.3,3.3,54.04283612,NA,NA,NA,3.384000063,44349.58966,4.905119896,1.163609133,11.32229614,129.3242137,83.4,78.6,80.99268293,NA,727972.84,12.02876736,0,0,0,1,"Selected"
"Djibouti                                            ","DJI","Itsenäinen valtio",23180,"Kyllä","Alempi keskitaso","Ei",958920,41.36842105,77.777,21.944,7.293,51.3,51.74897771,NA,NA,NA,10.25699997,2914.383856,3.748559952,NA,2.46476316,41.19590415,68.023,64,65.893,1,619.723,45.5496176,0,1,0,0,"Selected"
"Dominica                                            ","DMA","Itsenäinen valtio",750,"Ei","Ylempi keskitaso","Ei",71625,95.5,70.483,NA,NA,29.4,NA,NA,NA,NA,NA,7274.721333,NA,NA,5.44028521,105.7884817,NA,NA,NA,NA,179.683,19.49315376,0,0,1,0,"Selected"
"Denmark                                             ","DNK","Itsenäinen valtio",41990,"Ei","Korkea","Ei",5793636,137.9765658,87.874,10.6,9.2,3.4,56.91495672,NA,NA,NA,4.974999905,57141.05984,7.816080093,1.146016112,10.03963375,125.4530064,83.1,79.2,81.10243902,NA,31785.556,10.02965344,0,0,0,1,"Selected"
"Dominican Republic                                  ","DOM","Itsenäinen valtio",48310,"Ei","Ylempi keskitaso","Ei",10627165,219.9785759,81.074,19.799,6.12,24.8,53.98817641,NA,NA,NA,5.738999844,7609.338799,NA,0.700998298,5.83058691,84.10208352,76.99,70.609,73.689,1,25258.296,13.72632115,0,0,1,0,"Selected"
"Algeria                                             ","DZA","Itsenäinen valtio",2381740,"Ei","Ylempi keskitaso","Ei",42228429,17.73007507,72.629,24.846,4.717,20.9,57.50803244,24.67703,12.57704,18.59216,11.88199997,4044.2766,NA,6.014253329,6.38032866,111.6647921,77.735,75.307,76.499,0.1,150005.969,38.8840107,0,0,1,0,"Selected"
"East Asia & Pacific (excluding high income)         ","EAP","Valtioiden muodostama alue",15913480,NA,NA,NA,2081639097,130.8097975,55.63331748,14.22487035,6.94257282,13.56013019,42.9964689,5.80916999999999,2.48553,4.13444,3.852769049,7173.398308,NA,1.780255862,4.911070426,120.2390411,77.5631021,72.6070251901888,74.9949516,NA,11421388.28,42.53946794,NA,NA,NA,NA,"Not Selected"
"Early-demographic dividend                          ","EAR","Valtioiden muodostama alue",33107752,NA,NA,NA,3248239448,98.11114473,45.1296007,20.48342107,6.630296276,29.81042142,53.57369301,26.39577,15.0404,20.64927,5.689869895,3548.288051,NA,2.458445323,5.199678497,97.04712298,72.1587091,68.4780791156251,70.25420448,NA,7422679.061,60.36865605,NA,NA,NA,NA,"Not Selected"
"East Asia & Pacific                                 ","EAS","Valtioiden muodostama alue",24396748.4,NA,NA,NA,2328138066,95.42821148,59.05187575,13.58542385,7.114262378,12.9,44.25032618,6.06037000000001,2.74515,4.39239999999999,3.788435499,10467.70219,NA,1.677925642,6.574193493,122.1763448,78.50619169,73.404356632599,75.86595391,NA,13955922.02,39.75062298,NA,NA,NA,NA,"Not Selected"
"Europe & Central Asia (excluding high income)       ","ECA","Valtioiden muodostama alue",22381208.01,NA,NA,NA,397435105.5,17.75753594,67.6359306,14.42011159,9.828659942,11.21399454,49.48045824,1.48172,0.455730000000003,0.998900000000006,7.092560212,7863.679049,4.09250021,3.133571904,5.122937684,126.0608378,77.46388329,69.5077302487799,73.41270948,NA,2979371.494,24.93939864,NA,NA,NA,NA,"Not Selected"
"Europe & Central Asia                               ","ECS","Valtioiden muodostama alue",27429224.59,NA,NA,NA,917922618.5,33.46513189,72.21019233,11.8789782,10.01595626,7.6,52.50913022,2.11763000000001,1.16746000000001,1.66583,6.903874432,23597.42401,4.783239841,1.631373016,9.26200807,123.7852213,81.01859573,74.6485379608833,77.7854252,NA,6269012.208,18.08355548,NA,NA,NA,NA,"Not Selected"
"Ecuador                                             ","ECU","Itsenäinen valtio",248360,"Ei","Ylempi keskitaso","Ei",17084357,68.78868175,63.821,19.968,5.101,12.5,54.28737726,NA,NA,NA,3.529999971,6213.501276,NA,2.361263384,8.25742912,92.32327021,79.442,73.833,76.584,0.4,41154.741,14.88610066,0,0,1,0,"Selected"
"Egypt, Arab Rep.                                    ","EGY","Itsenäinen valtio",995450,"Ei","Alempi keskitaso","Ei",98423595,98.87346929,42.704,27.05,5.863,18.5,64.01105496,NA,NA,NA,11.59200001,2440.510173,NA,1.4220317,5.63305616,95.28659682,73.967,69.453,71.656,0.1,238560.352,86.99945205,0,1,0,0,"Selected"
"Euro area                                           ","EMU","Valtioiden muodostama alue",2678923.572,NA,NA,NA,341843156,127.6046691,76.99171285,9.480008473,10.11758241,3.190389074,55.52836001,NA,NA,NA,8.187862166,37095.12027,4.939249992,1.34336584,10.15828588,122.5633022,84.56465827,79.3690200436886,81.93221523,NA,2228500.891,12.52511274,NA,NA,NA,NA,"Not Selected"
"Eritrea                                             ","ERI","Itsenäinen valtio",101000,"Kyllä","Matala","Ei",NA,NA,NA,30.898,7.326,32.2,NA,31.05381,15.62676,23.42948,5.104000092,NA,NA,NA,3.76475835,NA,67.745,63.404,65.538,0.7,711.398,48.03019868,1,0,0,0,"Selected"
"Spain                                               ","ESP","Itsenäinen valtio",499563.9844,"Ei","Korkea","Ei",46797754,93.67719744,80.321,8.4,9.1,2.7,51.61969519,2.02622,1.07461000000001,1.5635,15.25500011,28170.43457,4.20773983,1.230679125,8.94249249,115.9942148,86.1,80.5,83.28292683,0.4,244002.18,9.697927863,0,0,0,1,"Selected"
"Estonia                                             ","EST","Itsenäinen valtio",43470,"Ei","Korkea","Ei",1321977,30.41124914,68.88,10.5,11.8,2.1,56.20961758,NA,NA,NA,5.366000175,20388.20955,4.973380089,2.014651509,6.59183788,145.4384241,82.6,73.3,78.09268293,NA,16589.508,6.732124015,0,0,0,1,"Selected"
"Ethiopia                                            ","ETH","Itsenäinen valtio",1e+06,"Kyllä","Matala","Kyllä",109224559,109.224559,20.763,32.775,6.691,39.5,79.4820265,NA,NA,NA,2.075000048,768.5223076,NA,0.666369217,3.50331593,NA,67.784,63.997,65.872,1,14869.685,38.97873776,1,0,0,0,"Selected"
"European Union                                      ","EUU","Valtioiden muodostama alue",3996763.572,NA,NA,NA,446777673,111.7848642,74.51495795,9.694553283,10.45887902,3.430180093,54.68831835,NA,NA,NA,7.26938483,33029.98795,4.725169897,1.344941187,9.879008816,122.7329387,83.74677768,78.37019224543,80.93065884,NA,2881620.536,13.46610166,NA,NA,NA,NA,"Not Selected"
"Fragile and conflict affected situations            ","FCS","Valtioiden muodostama alue",15546499.01,NA,NA,NA,780467640,47.11922029,44.50757243,34.12507294,9.040639775,58.44792868,81.38050391,43.79109,28.46542,36.24484,6.914434856,2030.056919,3.787309885,1.802878855,4.692825398,75.83766984,62.95866261,61.1711211559609,61.20474902,1.676914008,738491.9679,51.58591678,NA,NA,NA,NA,"Not Selected"
"Finland                                             ","FIN","Itsenäinen valtio",303910,"Ei","Korkea","Ei",5515525,18.14854727,85.382,9.1,9.8,2,60.94239949,NA,NA,NA,7.361000061,46316.74546,6.376210213,1.365678507,9.14156628,129.4685668,84.5,78.6,81.63170732,NA,45870.503,5.861331001,0,0,0,1,"Selected"
"Fiji                                                ","FJI","Itsenäinen valtio",18270,"Ei","Ylempi keskitaso","Ei",883483,48.35703339,56.248,21.56,8.18,21.3,53.75698098,NA,NA,NA,4.157999992,6101.030843,NA,1.543137043,3.18689561,NA,69.043,65.594,67.252,0.2,2046.186,10.8401599,0,0,1,0,"Selected"
"France                                              ","FRA","Itsenäinen valtio",547556.9922,"Ei","Korkea","Ei",66965912,122.2994372,80.444,11.5,9.1,3.6,61.26714345,NA,NA,NA,9.059000015,38812.16103,5.451600075,1.910454133,11.39050198,108.357357,85.7,79.5,82.57560976,0.3,NA,11.81496362,0,0,0,1,"Selected"
"Faroe Islands                                       ","FRO","Muu alue/territorio",1396.000061,NA,"Korkea",NA,48497,34.73996983,42.064,13.1,8.9,NA,NA,NA,NA,NA,NA,58622.84082,NA,NA,NA,117.1041508,84.5,80.4,82.29756098,NA,630.724,NA,0,0,0,1,"Not Selected"
"Micronesia, Fed. Sts.                               ","FSM","Itsenäinen valtio",700,"Ei","Alempi keskitaso","Ei",112640,160.9142857,22.703,22.937,6.534,26.2,55.53070157,NA,NA,NA,NA,3289.701146,NA,NA,12.31883812,NA,69.308,65.986,67.618,NA,143.013,11.28339944,0,1,0,0,"Selected"
"Gabon                                               ","GAB","Itsenäinen valtio",257670,"Ei","Ylempi keskitaso","Ei",2119275,8.224764233,89.37,32.161,6.998,33.4,68.3212,16.57603,14.14765,15.33284,19.80699921,7230.396393,NA,1.810489469,2.78074527,138.2809687,67.883,63.879,65.839,3.7,5320.817,44.38554846,0,0,1,0,"Selected"
"United Kingdom                                      ","GBR","Itsenäinen valtio",241930,"Ei","Korkea","Ei",66460344,274.7089819,83.398,11.4,9.2,3.8,56.43074619,NA,NA,NA,3.996000051,40361.41738,5.442090034,1.766636791,9.82511234,118.3651292,83.1,79.4,81.25609756,NA,379024.787,10.47269039,0,0,0,1,"Selected"
"Georgia                                             ","GEO","Itsenäinen valtio",69490,"Ei","Alempi keskitaso","Ei",3726549,65.19733021,58.632,13.718,12.918,8.9,53.047312,NA,NA,NA,13.78499985,4357.000936,3.574429989,2.062535683,7.05804443,136.380667,77.816,68.98,73.414,0.3,10128.254,22.19605462,0,1,0,0,"Selected"
"Ghana                                               ","GHA","Itsenäinen valtio",227540,"Ei","Alempi keskitaso","Ei",29767108,130.8214292,56.06,29.839,7.414,36.1,68.53447275,25.52561,16.47542,20.96036,4.157000065,2025.932424,3.617980003,0.401629021,3.32977843,137.5171658,64.503,62.437,63.463,1.8,16670.182,34.7135141,0,1,0,0,"Selected"
