"countries","gdp.per.capita","healthcare.expense","life.expectancy","infant.mortality","mortality"
"Nepal                                               ",911.4442665,5.48825455,70.169,27.4,6.404
"New Zealand                                         ",42849.42632,9.01967621,81.65853659,4.2,6.95
"Oman                                                ",15130.94374,3.97352886,77.393,9.7,2.462
"Pakistan                                            ",1464.993305,2.90229368,66.947,58.8,6.994
"Panama                                              ",15150.34561,6.89914465,78.149,13.7,5.048
"Peru                                                ",6710.508029,4.99378443,76.286,11.1,5.438
"Philippines                                         ",3123.234229,4.4460597,70.952,22.7,5.839
"Papua New Guinea                                    ",2695.251883,2.27085471,64.01,37.8,7.521
"Poland                                              ",13861.30936,6.56172848,77.75365854,3.9,10.6
"Portugal                                            ",21490.42986,9.33004951,81.42439024,3,10.7
"Paraguay                                            ",5680.580768,6.65456867,73.992,17.8,5.465
"Qatar                                               ",61264.39648,2.72160077,79.981,6.1,1.169
"Romania                                             ",10807.79539,5.1508317,75.3097561,6.7,13.3
"Russian Federation                                  ",10720.33259,5.34388065,72.43195122,5.9,12.4
"Rwanda                                              ",772.3184718,6.93017101,68.341,28.4,5.308
"Saudi Arabia                                        ",20803.74257,7.00368643,74.874,6.3,3.446
"Sudan                                               ",1111.868449,6.30497503,64.881,43.1,7.261
"Senegal                                             ",1361.699588,4.06742668,67.38,34.4,5.845
"Singapore                                           ",60913.74533,4.4177866,83.09512195,2.1,5
"Solomon Islands                                     ",2059.045424,4.74138927,72.645,17.9,4.284
"Sierra Leone                                        ",499.3807078,16.6201725,53.895,85.9,12.003
"El Salvador                                         ",3910.257193,7.22756004,72.872,12.2,7.011
"Serbia                                              ",6284.192804,8.23131752,75.53902439,5,14.8
"Sao Tome and Principe                               ",1811.012826,6.46091604,69.933,25,4.908
"Suriname                                            ",5626.795816,6.22976971,71.463,17,7.277
"Slovak Republic                                     ",17554.30832,6.76883841,77.16585366,4.9,9.9
"Slovenia                                            ",23500.75223,8.18941784,81.02926829,1.8,9.9
"Sweden                                              ",53791.50873,10.78592205,82.4097561,2.2,9.1
"Eswatini                                            ",3953.088968,6.91085625,58.319,44.8,9.843
"Seychelles                                          ",15906.08392,4.98940706,74.3,12.7,7.8
"Chad                                                ",665.9483527,4.40445328,53.712,72.6,12.309
"Togo                                                ",626.0915279,6.02144766,60.489,48.2,8.568
"Thailand                                            ",6592.914902,3.83202839,76.683,8.4,7.559
"Tajikistan                                          ",806.0415731,7.2288146,70.647,31.3,4.961
"Turkmenistan                                        ",6587.090316,6.93379545,67.956,36.7,7.057
"Timor-Leste                                         ",1294.715534,4.33655405,69.007,40.5,6.05
"Tonga                                               ",4217.476507,5.05521584,70.701,14.5,7.194
"Trinidad and Tobago                                 ",16238.19319,7.02028561,73.245,16.6,8.261
"Tunisia                                             ",3481.228739,7.25768566,76.31,14.7,6.274
"Turkey                                              ",10513.64843,4.17974997,77.161,9.8,5.394
"Tanzania                                            ",1004.841121,3.63913774,64.479,38.3,6.622
"Uganda                                              ",747.1969074,6.48715639,62.516,36,6.769
"Ukraine                                             ",2640.675677,7.43332434,71.78097561,7.6,14.5
"Uruguay                                             ",17322.14739,9.51635647,77.632,6.8,9.461
"United States                                       ",59957.72585,17.00361443,78.53902439,5.7,8.638
"Uzbekistan                                          ",1826.566919,5.07679749,71.388,17.6,5
"St. Vincent and the Grenadines                      ",7212.960181,4.3064785,72.3,14.3,9.162
"Vietnam                                             ",2365.621666,5.92534494,75.241,16.6,6.253
"Vanuatu                                             ",3082.356323,2.76094961,70.172,22.9,5.334
"Samoa                                               ",4258.48627,5.50720882,73.046,13.7,5.296
"South Africa                                        ",6132.479841,8.11311913,63.538,28.2,9.498
"Zambia                                              ",1534.865371,4.39748955,63.043,44.1,6.633
"Zimbabwe                                            ",1548.170056,5.84977484,60.812,40.5,8.044
